Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
653,0.958734,1.926188,3.80,4,10
654,1.243831,1.834551,3.70,4,10
655,0.917766,1.618293,3.90,4,10
656,0.923848,1.911995,3.90,4,10
657,0.537260,1.239396,4.00,4,10
658,1.281079,2.385422,3.90,4,10
659,1.036120,1.935302,3.60,4,10
660,1.175689,1.900057,4.00,4,10
661,1.094044,1.789551,3.80,4,10
662,1.662817,2.717699,3.90,4,10
663,1.546348,2.764612,3.90,4,10
664,1.217932,2.202907,3.80,4,10
665,0.913460,1.775126,3.90,4,10
666,1.586308,1.959618,3.50,4,10
667,1.081985,2.046901,3.80,4,10
668,1.506836,2.787886,3.80,4,10
669,1.200994,2.353567,3.90,4,10
670,1.135983,1.710592,3.90,4,10
671,1.420716,1.926659,4.00,4,10
672,1.425276,2.056460,3.80,4,10
673,0.930613,1.641779,4.00,4,10
674,0.934601,1.775856,3.90,4,10
675,1.448438,2.074415,3.60,4,10
676,1.360717,2.028756,3.80,4,10
677,0.817348,2.121869,3.90,4,10
678,1.040351,2.119112,3.90,4,10
679,1.247284,2.032145,3.80,4,10
680,1.150748,2.026852,3.90,4,10
681,0.982815,1.872498,3.80,4,10
682,1.168482,1.939757,3.80,4,10
683,1.005055,2.120240,3.70,4,10
684,1.372217,2.221142,3.70,4,10
685,1.214307,2.190564,3.70,4,10
686,1.329396,2.186260,3.90,4,10
687,1.160545,2.148095,3.80,4,10
688,1.604938,2.228780,3.50,4,10
689,1.271569,2.783493,3.90,4,10
690,1.431197,2.077092,3.50,4,10
691,1.871683,2.688976,3.70,4,10
692,1.346693,2.192211,3.70,4,10
693,1.240439,1.833258,3.80,4,10
694,1.067160,2.080358,3.90,4,10
695,1.579377,2.117098,3.90,4,10
696,1.427311,2.254670,3.80,4,10
697,1.107645,2.373570,4.00,4,10
