Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
179,0.045740,0.068058,7.00,7,10
180,0.044729,0.071137,7.10,8,10
181,0.046530,0.070873,7.10,8,10
182,0.048947,0.052567,7.20,8,10
183,0.056871,0.079095,7.00,7,10
184,0.054420,0.079814,7.10,8,10
185,0.054906,0.080137,7.00,7,10
186,0.055178,0.078551,7.00,7,10
187,0.058712,0.080718,7.20,8,10
188,0.055725,0.079642,7.00,7,10
189,0.058968,0.080532,7.10,8,10
190,0.060666,0.090769,7.20,8,10
191,0.059594,0.084356,7.00,7,10
192,0.056712,0.083302,7.10,8,10
193,0.057674,0.087383,7.10,8,10
194,0.057389,0.085340,7.10,8,10
195,0.055134,0.056920,7.20,8,10
196,0.065619,0.090145,7.40,8,10
197,0.058733,0.082984,7.30,8,10
198,0.059801,0.085969,7.30,8,10
199,0.056840,0.060384,7.40,8,10
200,0.057506,0.058477,7.50,8,10
201,0.062305,0.088601,7.20,8,10
202,0.066575,0.094466,7.30,8,10
203,0.060629,0.090569,7.20,8,10
204,0.064287,0.092207,7.30,8,10
205,0.061461,0.086660,7.30,8,10
206,0.061461,0.088077,7.20,8,10
207,0.066764,0.097111,7.50,8,10
208,0.062493,0.088614,7.50,8,10
209,0.063546,0.093786,7.30,8,10
210,0.064127,0.092161,7.10,8,10
211,0.066359,0.094305,7.30,8,10
212,0.059291,0.060939,7.20,8,10
213,0.063713,0.090424,7.50,8,10
214,0.064630,0.092041,7.70,8,10
215,0.064060,0.087982,7.50,8,10
216,0.071507,0.097739,7.60,8,10
217,0.064716,0.088750,7.70,8,10
218,0.062307,0.090173,7.80,8,10
219,0.072113,0.094124,7.50,8,10
220,0.065705,0.086155,7.40,8,10
221,0.071125,0.091025,7.30,8,10
222,0.070754,0.095304,7.80,8,10
223,0.063482,0.065163,7.70,8,10
224,0.070892,0.099268,7.80,8,10
225,0.072511,0.102464,8.00,8,10
226,0.068191,0.099870,7.50,8,10
227,0.071459,0.103764,7.60,8,10
228,0.071732,0.099096,7.70,8,10
